Date,Crew,MonitoringAgency,BaySegment,Site,Plot,Species,Abundance,Appearance,Depth,Time,EpiphyteDensity,SedimentType
5/22/2026,Squid,AMIkids,OTB,Weedon,150,Halodule,2,2,,,2,2
5/22/2026,Squid,AMIkids,OTB,Weedon,200,Halodule,2,2,80,11:45,2,1
5/22/2026,Squid,AMIkids,OTB,Weedon,200,Syringodium,1,2,80,11:45,2,1
5/22/2026,Squid,AMIkids,OTB,Weedon,250,Syringodium,2,2,86,11:50,2,1
5/22/2026,Squid,AMIkids,OTB,Weedon,250,Halodule,4,4,86,11:50,2,1
5/22/2026,Squid,AMIkids,OTB,Weedon,100,Halodule,5,5,108,12:00,4,3
5/22/2026,Squid,AMIkids,OTB,Weedon,100,Syringodium,5,5,108,12:00,4,3
5/22/2026,Best,AMIkids,OTB,Weedon,50,Halodule,2,3,93,11:35,4,4
5/22/2026,Best,AMIkids,OTB,Weedon,0,Halodule,2,1,98,11:45,2,4
5/22/2026,Best,AMIkids,OTB,Weedon,100,Syringodium,4,1,112,11:54,1,4
5/22/2026,Best,AMIkids,OTB,Weedon,150,Halodule,1,2,80,12:03,1,3
5/22/2026,Best,AMIkids,OTB,Weedon,150,Syringodium,1,2,80,12:03,2,3
6/11/2026,Dolphin,AMIkids,OTB,Weedon,1,Thalassia,2,2,123,11:25,,4
6/11/2026,Dolphin,AMIkids,OTB,Weedon,2,Halodule,3,2,108,11:34,,2
6/11/2026,Dolphin,AMIkids,OTB,Weedon,3,Syringodium,3,5,102,11:47,1,3
6/11/2026,Dolphin,AMIkids,OTB,Weedon,4,Halodule,3,3,121,12:00,2,1
6/11/2026,Dolphin,AMIkids,OTB,Weedon,4,Syringodium,1,2,121,12:00,2,1
6/11/2026,Manatee,AMIkids,OTB,Weedon,1,Thalassia,1,2,104,11:30,3,3
6/11/2026,Manatee,AMIkids,OTB,Weedon,2,Thalassia,2,3,120,11:37,3,3
6/11/2026,Manatee,AMIkids,OTB,Weedon,2,Halodule,1,2,120,11:37,1,3
6/11/2026,Manatee,AMIkids,OTB,Weedon,3,Thalassia,2,3,122,11:45,3,3
6/11/2026,Manatee,AMIkids,OTB,Weedon,3,Halodule,1,2,122,11:45,2,3
6/11/2026,Manatee,AMIkids,OTB,Weedon,4,Syringodium,3,4,98,12:02,4,3
6/11/2026,Manatee,AMIkids,OTB,Weedon,4,Halodule,3,2,98,12:02,2,3
6/12/2026,Dolphin,AMIkids,OTB,Weedon,50,Halodule,4,2,101,12:04,3,3
6/12/2026,Dolphin,AMIkids,OTB,Weedon,0,Thalassia,5,2,124,12:15,2,3
6/12/2026,Dolphin,AMIkids,OTB,Weedon,0,Halodule,2,2,124,12:15,3,3
6/12/2026,Manatee,AMIkids,OTB,Weedon,50,Halodule,5,1,97,11:30,3,3
6/12/2026,Manatee,AMIkids,OTB,Weedon,0,Halodule,5,1,118,11:40,2,3
6/12/2026,Manatee,AMIkids,OTB,Weedon,0,Thalassia,1,1,118,11:40,4,3
6/12/2026,Dolphin,AMIkids,OTB,Weedon,50,Halodule,4,2,101,12:04,3,3
6/12/2026,Dolphin,AMIkids,OTB,Weedon,0,Syringodium,5,2,124,12:13,2,3
6/12/2026,Dolphin,AMIkids,OTB,Weedon,0,Halodule,2,2,124,12:13,3,3
